"año","CIF","CMUN","CMUNXL","DEGURBA","Eco_Afiliados_Tem_Porc_Resid","Eco_Afiliados_Total","Eco_Cap_Nec_Financ","Eco_Contratos_Indef","Eco_Contratos_Temp","Eco_Contratos_Total","Eco_Distrib_Renta_P80_20","Eco_Energ_Elect_PC","Eco_Establec_Hotel","Eco_Imp_Saldo_Nfinanc","Eco_Ind_RDBM_PC","Eco_Indice_Gini","Eco_Paro_100","Eco_Paro_Porc_Evol","Eco_PBI_municipal_pc","Eco_Pre_Deuda_Viva","Eco_Pre_Gastos_Liquidados","Eco_Pre_Ingresos_Liquidados","Eco_Renta_Neta_Media_PP","Eco_Uds_Productivas","Entidad","MA_Incendios","MA_Pelig_Incend_AltoExt","MA_Sup_Forestal_Arbol","MA_Sup_Forestal_Desarb","MA_Sup_Forestal_Total","MA_Sup_Protegida","MA_Sup_quemada","Municipio","NATCODE","Pob_Crecim_Relativo","Pob_Dependencia","Pob_Edad_Media","Pob_Empadronada","Pob_Empadronada_H","Pob_Empadronada_M","Pob_Envejecimiento","Pob_EV_65_H","Pob_EV_65_M","Pob_EV_65_Total","Pob_EV_H","Pob_EV_M","Pob_EV_Total","Pob_Grupo","Pob_Juventud","Pob_Saldo_Migratorio","Soc_Bibliot_públicas","Soc_Bienes_Cult","Soc_Cines_Proy","Soc_Ed_Bachiller","Soc_Ed_Cent_Priv_NoUni","Soc_Ed_Cent_Pub_NoUni","Soc_Ed_CiclosFormat","Soc_Ed_ESO","Soc_Ed_Especial","Soc_Ed_Infantil","Soc_Ed_Primaria","Soc_Ent_Credito","Soc_Mov_Auto_T","Soc_Mov_Est_Cercan","Soc_Mov_Gasolin","Soc_Mov_Hosp_T","Soc_Mov_Lin_Autob","Soc_Mov_Muni_5000_T","Soc_Mov_Turismos_Pub","Soc_Salud_Ambul","Soc_Salud_CentrosS","Soc_Salud_Consult","Soc_Salud_Def_Otras","Soc_Salud_Def_SistCirc","Soc_Salud_Def_SistResp","Soc_Salud_Def_Tumor","Soc_Salud_Discapacidad","Soc_Salud_Farmacia","Soc_Serv_Social_Centros","Soc_Teatros","Soc_Vivienda_Libre","Superficie","Terr_Zonas_Estad_CM"
"2001","P2800100F","001","28001","3-Rural",NA,NA,NA,NA,NA,NA,NA,3339.29,NA,NA,8031.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",NA,NA,59.86,56,32,24,48.21,NA,NA,NA,NA,NA,NA,"≤100 hab.",3.57,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.328,0,NA,NA,2,28.506,0,0,NA,NA,NA,0,33.33,0,NA,NA,NA,NA,NA,21.88,"SIERRA NORTE"
"2002","P2800100F","001","28001","3-Rural",NA,NA,NA,NA,NA,NA,NA,4245.28,NA,NA,9744.65,NA,NA,NA,NA,NA,211.99,161.26,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",NA,NA,59.42,53,29,24,47.17,NA,NA,NA,NA,NA,NA,"≤100 hab.",3.77,-2,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,3.328,0,NA,NA,2,28.506,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.88,"SIERRA NORTE"
"2003","P2800100F","001","28001","3-Rural",NA,NA,NA,NA,NA,NA,NA,4309.09,NA,NA,10643.66,NA,NA,NA,NA,NA,317.74,307.66,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",NA,NA,58.27,55,29,26,43.64,NA,NA,NA,NA,NA,NA,"≤100 hab.",3.64,2,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,3.328,0,NA,NA,2,28.506,0,0,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,21.88,"SIERRA NORTE"
"2004","P2800100F","001","28001","3-Rural",NA,NA,NA,NA,NA,NA,NA,4727.27,NA,NA,11482.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",0,0,57.02,55,29,26,41.82,NA,NA,NA,NA,NA,NA,"≤100 hab.",5.45,4,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,3.328,0,NA,NA,2,28.506,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.88,"SIERRA NORTE"
"2005","P2800100F","001","28001","3-Rural",NA,NA,NA,NA,NA,NA,NA,4466.67,NA,NA,11820.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",9.1,9.1,59.4,60,30,30,48.33,NA,NA,NA,NA,NA,NA,"≤100 hab.",3.33,0,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,3.328,0,NA,NA,2,28.506,0,0,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,21.88,"SIERRA NORTE"
"2006","P2800100F","001","28001","3-Rural",NA,NA,NA,502,73.96,1928,NA,4847.46,NA,NA,12133.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",-1.7,-1.7,59.54,59,31,28,49.15,NA,NA,NA,NA,NA,NA,"≤100 hab.",3.39,-1,0,NA,NA,0,0,0,0,0,0,0,0,NA,3.328,0,NA,NA,2,28.506,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,21.88,"SIERRA NORTE"
"2007","P2800100F","001","28001","3-Rural",NA,NA,NA,304,77.11,1328,NA,5189.66,NA,NA,12102.59,NA,3.45,NA,NA,NA,NA,NA,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",-1.69,-1.69,58.57,58,31,27,48.28,NA,NA,NA,NA,NA,NA,"≤100 hab.",5.17,-3,0,0,NA,0,0,0,0,0,0,0,0,NA,3.328,0,NA,NA,2,28.506,0,0,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,21.88,"SIERRA NORTE"
"2008","P2800100F","001","28001","3-Rural",NA,NA,NA,258,71.52,906,NA,4982.46,NA,NA,12246.97,NA,5.26,1.81,NA,NA,NA,NA,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",-1.72,-1.72,59.12,57,30,27,49.12,NA,NA,NA,NA,NA,NA,"≤100 hab.",5.26,2,0,0,NA,0,0,0,0,0,0,0,0,NA,3.328,0,NA,NA,2,28.506,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.88,"SIERRA NORTE"
"2009","P2800100F","001","28001","3-Rural",NA,NA,NA,123,81.53,666,NA,4655.74,6,NA,12359.15,NA,1.64,-3.62,NA,0,NA,NA,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",7.02,7.02,58.98,61,33,28,47.54,NA,NA,NA,NA,NA,NA,"≤100 hab.",4.92,-1,0,0,NA,0,0,0,0,0,0,0,0,NA,3.328,0,NA,NA,2,28.506,0,0,NA,NA,NA,50,0,0,NA,NA,NA,NA,NA,21.88,"SIERRA NORTE"
"2010","P2800100F","001","28001","3-Rural",NA,NA,NA,148,75.29,599,NA,4677.97,7,NA,12611.01,NA,8.47,6.84,NA,0,NA,NA,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",-3.28,-3.28,59.08,59,30,29,44.07,NA,NA,NA,NA,NA,NA,"≤100 hab.",3.39,1,0,0,NA,0,0,0,0,0,0,0,0,NA,3.328,0,NA,NA,2,28.506,0,0,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,21.88,"SIERRA NORTE"
"2011","P2800100F","001","28001","3-Rural",NA,NA,NA,135,77.04,588,NA,4532.26,7,NA,12768.06,NA,6.45,-2.02,NA,0,396.03,400.87,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",5.08,5.08,57.6,62,32,30,40.32,NA,NA,NA,NA,NA,NA,"≤100 hab.",6.45,5,0,0,NA,0,0,0,0,0,0,0,0,NA,3.328,0,NA,NA,2,28.506,0,0,0,1,0,0,100,0,NA,0,NA,NA,NA,21.88,"SIERRA NORTE"
"2012","P2800100F","001","28001","3-Rural",NA,NA,NA,100,80.95,525,NA,4723.08,7,NA,11670.64,NA,9.23,2.78,NA,0,180.4,256.66,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",4.84,4.84,56.54,65,36,29,36.92,NA,NA,NA,NA,NA,NA,"≤100 hab.",6.15,2,0,0,NA,0,0,0,0,0,0,0,0,NA,3.328,0,NA,NA,2,28.506,0,0,0,1,0,100,0,0,2,0,NA,NA,NA,21.88,"SIERRA NORTE"
"2013","P2800100F","001","28001","3-Rural",NA,NA,"cumple",78,82.31,441,NA,3746.27,8,93.27,11334.24,NA,11.94,2.71,NA,0,113.66,113.76,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",3.08,3.08,57.09,67,37,30,37.31,NA,NA,NA,NA,NA,NA,"≤100 hab.",4.48,-1,0,0,NA,0,0,0,0,0,0,0,0,NA,3.328,0,NA,NA,2,28.506,0,0,0,1,0,0,0,100,2,0,NA,NA,NA,21.88,"SIERRA NORTE"
"2014","P2800100F","001","28001","3-Rural",NA,NA,NA,141,86.22,1023,NA,3462.69,8,NA,11469.47,NA,8.96,-2.99,NA,0,NA,NA,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",0,0,58.45,67,37,30,41.79,NA,NA,NA,NA,NA,NA,"≤100 hab.",4.48,0,0,0,NA,0,0,0,0,0,0,0,0,NA,3.328,0,NA,NA,2,28.506,0,0,NA,NA,100,0,0,0,3,0,NA,NA,NA,21.88,"SIERRA NORTE"
"2015","P2800100F","001","28001","3-Rural",10.26,78,NA,257,76.76,1106,NA,3738.46,7,NA,11935.45,NA,7.69,-1.26,3340,0,NA,NA,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",-2.99,-2.99,58.62,65,36,29,41.54,NA,NA,NA,NA,NA,NA,"≤100 hab.",4.62,0,0,0,0,0,0,0,0,0,0,0,0,NA,3.328,0,NA,NA,2,28.506,0,0,0,1,100,0,0,0,2,0,0,NA,NA,21.88,"SIERRA NORTE"
"2016","P2800100F","001","28001","3-Rural",11.27,71,"Cumple",152,82.98,893,NA,3590.91,7,130408.02,12481.8,NA,6.06,-1.63,3776,0,188.21,318.62,NA,30,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",1.54,1.54,58.45,66,36,30,40.91,NA,NA,NA,NA,NA,NA,"≤100 hab.",6.06,3,0,0,0,0,0,0,0,0,0,0,0,0,3.328,0,NA,NA,2,28.506,0,0,0,1,100,0,0,0,3,0,0,NA,NA,21.88,"SIERRA NORTE"
"2017","P2800100F","001","28001","3-Rural",7.94,63,"Cumple",324,73.66,1230,NA,3439.39,7,91801.74,12273.18,NA,10.61,4.55,3825,0,339.85,431.66,NA,31,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",0,0,59.68,66,37,29,42.42,NA,NA,NA,NA,NA,NA,"≤100 hab.",3.03,-1,0,0,0,0,0,0,0,0,0,0,0,0,3.328,0,0,NA,2,28.506,0,0,0,1,100,0,0,0,3,0,0,NA,NA,21.88,"SIERRA NORTE"
"2018","P2800100F","001","28001","3-Rural",10.53,57,NA,292,83.19,1737,NA,3292.31,7,NA,13120.97,NA,9.23,-1.38,3518,0,338.74,219.6,NA,26,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",-1.52,-1.52,61.4,65,35,30,43.08,NA,NA,NA,NA,NA,NA,"≤100 hab.",3.08,30,0,0,0,0,0,0,0,0,0,0,0,0,3.328,0,0,NA,2,28.506,0,0,0,1,0,33.33,0,66.67,3,0,0,0,NA,21.88,"SIERRA NORTE"
"2019","P2800100F","001","28001","3-Rural",7.69,52,"Cumple",419,83.66,2564,NA,2690.48,7,66407.98,NA,NA,7.14,-2.09,4358,0,316.9,383.31,NA,28,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",29.23,29.23,58.44,84,44,40,40.48,NA,NA,NA,NA,NA,NA,"≤100 hab.",2.38,-16,0,0,0,0,0,0,0,0,0,0,0,0,3.328,0,NA,NA,2,28.506,0,0,0,1,0,50,50,0,5,0,0,0,NA,21.88,"SIERRA NORTE"
"2019(P)","P2800100F","001","28001","3-Rural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13216.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.328,NA,NA,NA,NA,28.506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.88,"SIERRA NORTE"
"2020","P2800100F","001","28001","3-Rural",9.76,41,NA,241,83.05,1422,NA,3382.35,6,NA,12221.97,NA,10.29,3.15,NA,0,312.18,312.28,13999,28,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",-19.05,-19.05,59.84,68,34,34,45.59,NA,NA,NA,NA,NA,NA,"≤100 hab.",2.94,-12,0,0,0,0,0,0,0,0,0,0,0,0,3.328,0,0,NA,2,28.506,NA,NA,0,1,50,16.67,33.33,0,6,0,0,0,NA,21.88,"SIERRA NORTE"
"2021","P2800100F","001","28001","3-Rural",10.53,38,"Capacidad de financiación",252,86.88,1920,NA,4400,6,30686.52,NA,NA,7.27,-3.02,NA,0,611.54,642.23,NA,27,"Acebeda (La)",NA,NA,NA,NA,NA,27.6190489561523,NA,"La Acebeda","34132828001",-19.12,-19.12,60.09,55,26,29,49.09,NA,NA,NA,NA,NA,NA,"≤100 hab.",3.64,2,0,0,0,0,0,0,0,0,0,0,0,0,3.328,0,0,NA,2,28.506,NA,NA,0,1,50,50,0,0,6,0,0,0,NA,21.88,"SIERRA NORTE"
"2022","P2800100F","001","28001","3-Rural",14.29,35,NA,986,75.16,3970,NA,3274.19,6,NA,NA,NA,6.45,NA,NA,NA,NA,NA,NA,26,"Acebeda (La)",0,"15.3436389545455",56.1798551580647,41.8656206740136,98.0454758320784,27.6190489561523,0,"La Acebeda","34132828001",12.73,12.73,NA,62,32,30,48.39,NA,NA,NA,NA,NA,NA,"≤100 hab.",3.23,NA,0,NA,0,0,NA,NA,0,0,0,0,0,NA,3.328,NA,NA,45.975,NA,28.506,NA,NA,0,1,NA,NA,NA,NA,NA,0,0,NA,NA,21.88,"SIERRA NORTE"
"2023","P2800100F","001","28001","3-Rural",6.06,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acebeda (La)",NA,NA,NA,NA,NA,NA,NA,NA,"34132828001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001","P2800200D","002","28002","2-Intermedio",NA,NA,NA,NA,NA,NA,NA,39225.06,NA,NA,12486.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ajalvir",NA,NA,NA,NA,NA,59.4905658634741,NA,"Ajalvir","34132828002",NA,NA,35.19,2386,1262,1124,9.39,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",15.88,79,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.688,0,NA,NA,4,4.448,4,0,NA,NA,NA,0,9.09,9.09,NA,NA,NA,NA,NA,19.8,"ESTE METROPOLITANO"
"2002","P2800200D","002","28002","2-Intermedio",NA,NA,NA,NA,NA,NA,NA,20522.96,NA,NA,12824.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ajalvir",NA,NA,NA,NA,NA,59.4905658634741,NA,"Ajalvir","34132828002",NA,NA,35.34,2526,1332,1194,9.78,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",17.06,138,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,2.688,0,NA,NA,4,4.448,4,0,NA,NA,NA,50,8.33,33.33,NA,NA,NA,NA,NA,19.8,"ESTE METROPOLITANO"
"2003","P2800200D","002","28002","2-Intermedio",NA,NA,NA,NA,NA,NA,NA,19553.9,NA,NA,13504.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ajalvir",NA,NA,NA,NA,NA,59.4905658634741,NA,"Ajalvir","34132828002",NA,NA,34.69,2755,1438,1317,9.15,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",17.46,84,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,2.688,0,NA,NA,4,4.448,4,0,NA,NA,NA,60,0,0,NA,NA,NA,NA,NA,19.8,"ESTE METROPOLITANO"
"2004","P2800200D","002","28002","2-Intermedio",NA,NA,NA,NA,NA,NA,NA,19293.68,NA,NA,13962.32,NA,NA,NA,NA,NA,3999.42,4510.41,NA,NA,"Ajalvir",NA,NA,NA,NA,NA,59.4905658634741,NA,"Ajalvir","34132828002",6.17,6.17,35.2,2925,1530,1395,9.23,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",16.51,120,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,2.688,0,NA,NA,4,4.448,4,0,NA,NA,NA,12.5,12.5,37.5,NA,NA,NA,NA,NA,19.8,"ESTE METROPOLITANO"
"2005","P2800200D","002","28002","2-Intermedio",NA,NA,NA,NA,NA,NA,NA,18898.11,NA,NA,14659.86,NA,NA,NA,NA,NA,7596.8,6646.7,NA,NA,"Ajalvir",NA,NA,NA,NA,NA,59.4905658634741,NA,"Ajalvir","34132828002",4.7,4.7,35.06,3062,1616,1446,8.62,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",17.18,90,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,2.688,0,NA,NA,4,4.448,4,0,NA,NA,NA,16.67,0,50,NA,NA,NA,NA,NA,19.8,"ESTE METROPOLITANO"
"2006","P2800200D","002","28002","2-Intermedio",NA,NA,NA,399,82.04,2222,NA,17912.1,NA,NA,15256.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ajalvir",NA,NA,NA,NA,NA,59.4905658634741,NA,"Ajalvir","34132828002",5.5,5.5,34.93,3231,1680,1551,8.88,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",18.01,82,0,NA,NA,0,1,2,0,0,0,3,1,NA,2.688,0,NA,NA,4,4.448,4,0,NA,NA,NA,28.57,0,28.57,NA,NA,NA,NA,NA,19.8,"ESTE METROPOLITANO"
"2007","P2800200D","002","28002","2-Intermedio",NA,NA,NA,484,79.22,2329,NA,17618.04,NA,NA,15675.53,NA,2.61,NA,NA,NA,6668.09,6346.16,NA,NA,"Ajalvir",NA,NA,NA,NA,NA,59.4905658634741,NA,"Ajalvir","34132828002",6.72,6.72,34.75,3448,1798,1650,8.53,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",18.76,129,0,0,NA,0,1,2,0,0,0,3,1,NA,2.688,0,NA,NA,4,4.448,4,0,NA,NA,NA,50,0,50,NA,NA,NA,NA,NA,19.8,"ESTE METROPOLITANO"
"2008","P2800200D","002","28002","2-Intermedio",NA,NA,NA,586,74.8,2325,NA,17417.37,NA,NA,16151.82,NA,3.01,0.4,NA,NA,8744.9,8860.23,NA,NA,"Ajalvir",NA,NA,NA,NA,NA,59.4905658634741,NA,"Ajalvir","34132828002",3.19,3.19,35.2,3558,1851,1707,8.52,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",17.68,195,0,0,NA,0,1,2,0,0,0,3,1,NA,2.688,0,NA,NA,4,4.448,5,0,NA,NA,NA,66.67,0,33.33,NA,NA,NA,NA,NA,19.8,"ESTE METROPOLITANO"
"2009","P2800200D","002","28002","2-Intermedio",NA,NA,NA,325,80.16,1638,NA,15394.97,2,NA,16267.69,NA,4.95,1.94,NA,570.11,8640.52,9093.2,NA,NA,"Ajalvir",NA,NA,NA,NA,NA,59.4905658634741,NA,"Ajalvir","34132828002",6.24,6.24,34.98,3780,1967,1813,8.39,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",18.47,120,0,0,NA,0,0,2,0,0,0,2,1,NA,2.688,0,NA,NA,4,4.448,5,3,NA,NA,NA,13.33,13.33,33.33,NA,NA,NA,NA,NA,19.8,"ESTE METROPOLITANO"
"2010","P2800200D","002","28002","2-Intermedio",NA,NA,NA,293,80.47,1500,NA,14146.84,3,NA,16711.16,NA,6.52,1.58,NA,459.2,7621.89,6528.73,NA,NA,"Ajalvir",NA,NA,NA,NA,NA,59.4905658634741,NA,"Ajalvir","34132828002",3.41,3.41,35.14,3909,2046,1863,8.29,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",18.65,96,0,0,NA,0,1,3,0,0,0,4,1,NA,2.688,0,NA,NA,4,4.448,5,7,0,1,33.33,25,8.33,33.33,NA,1,NA,NA,NA,19.8,"ESTE METROPOLITANO"
"2011","P2800200D","002","28002","2-Intermedio",NA,NA,NA,253,85.96,1802,NA,9134.76,3,NA,16783.65,NA,6.18,-0.34,NA,371.44,6195.62,5594.33,NA,NA,"Ajalvir",NA,NA,NA,NA,NA,59.4905658634741,NA,"Ajalvir","34132828002",5.17,5.17,35.15,4111,2132,1979,8.66,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",19.51,39,0,0,NA,0,1,3,0,0,0,4,1,NA,2.688,0,NA,NA,4,4.448,5,0,0,1,20,30,10,40,NA,1,NA,NA,NA,19.8,"ESTE METROPOLITANO"
"2012","P2800200D","002","28002","2-Intermedio",NA,NA,NA,382,77,1661,NA,8902.45,3,NA,15595.24,NA,7.49,1.32,NA,673.33,4690.47,6604.96,NA,NA,"Ajalvir",NA,NA,NA,NA,NA,59.4905658634741,NA,"Ajalvir","34132828002",2.24,2.24,35.49,4203,2202,2001,8.99,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",19.77,46,1,0,NA,0,1,3,0,0,0,4,1,NA,2.688,0,NA,NA,4,4.448,5,8,0,1,18.75,25,25,31.25,113,1,NA,NA,NA,19.8,"ESTE METROPOLITANO"
"2013","P2800200D","002","28002","2-Intermedio",NA,NA,"cumple",308,82.47,1757,NA,8420.32,3,567399.54,14850.55,NA,7.53,0.04,NA,563.01,4936.29,5072.98,NA,NA,"Ajalvir",NA,NA,NA,NA,NA,59.4905658634741,NA,"Ajalvir","34132828002",1.38,1.38,36.2,4261,2235,2026,9.41,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",19.36,98,1,0,NA,0,1,3,0,0,0,4,1,NA,2.688,0,NA,NA,3,4.448,4,9,0,1,26.32,21.05,10.53,42.11,116,1,NA,NA,NA,19.8,"ESTE METROPOLITANO"
"2014","P2800200D","002","28002","2-Intermedio",NA,NA,NA,344,83.33,2064,NA,8775.52,3,NA,14977.91,NA,6.98,-0.55,NA,451.03,NA,NA,NA,NA,"Ajalvir",NA,NA,NA,NA,NA,59.4905658634741,NA,"Ajalvir","34132828002",1.83,1.83,36.72,4339,2284,2055,9.43,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",18.55,80,1,0,NA,0,1,3,0,0,0,4,1,NA,2.688,0,NA,NA,3,4.448,3,0,NA,NA,27.27,54.55,0,18.18,113,1,NA,NA,NA,19.8,"ESTE METROPOLITANO"
"2015","P2800200D","002","28002","2-Intermedio",14.63,1524,NA,344,85.02,2297,2.6,9800.37,3,NA,15572.32,31.7,7.23,0.25,272693,394.89,4976.15,6122.71,12338,NA,"Ajalvir",NA,NA,NA,NA,NA,59.4905658634741,NA,"Ajalvir","34132828002",0.09,0.09,37.22,4343,2276,2067,10.15,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",18.42,58,1,0,0,0,0,3,0,0,0,3,1,NA,2.688,0,NA,NA,4,4.448,2,0,0,1,31.25,18.75,6.25,43.75,119,1,3,NA,NA,19.8,"ESTE METROPOLITANO"
"2016","P2800200D","002","28002","2-Intermedio",15.48,1583,"Cumple",426,82.51,2436,3,10559.68,3,289795.08,16024.86,32.9,6.04,-1.19,282569,358.56,4964.4,5131.71,12088,976,"Ajalvir",NA,NA,NA,NA,NA,59.4905658634741,NA,"Ajalvir","34132828002",2.23,2.23,37.64,4440,2318,2122,10.32,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",18.22,24,1,0,0,0,0,3,0,0,0,3,1,5,2.688,0,NA,NA,4,4.448,2,0,0,1,52.94,29.41,5.88,11.76,132,1,3,NA,NA,19.8,"ESTE METROPOLITANO"
"2017","P2800200D","002","28002","2-Intermedio",15.57,1599,NA,403,84.88,2665,2.5,10025.59,3,NA,15933.45,30.7,4.96,-1.08,291366,302.36,NA,NA,12928,983,"Ajalvir",NA,NA,NA,NA,NA,59.4905658634741,NA,"Ajalvir","34132828002",0.34,0.34,37.88,4455,2327,2128,10.17,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",17.82,139,1,0,0,0,0,3,0,0,0,3,1,5,2.688,0,2,NA,4,4.448,2,0,0,1,21.05,21.05,15.79,42.11,145,1,3,NA,NA,19.8,"ESTE METROPOLITANO"
"2018","P2800200D","002","28002","2-Intermedio",17.05,1683,"NO CUMPLE",558,79.91,2778,2.7,9872.56,3,-1114495.94,15800.06,30.3,4.43,-0.53,280924,241.72,6203.81,4844.36,13421,972,"Ajalvir",NA,NA,NA,NA,NA,59.4905658634741,NA,"Ajalvir","34132828002",2.33,2.33,38.18,4559,2374,2185,10.22,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",17.24,168,1,0,0,0,0,3,0,1,0,3,1,5,2.688,0,2,NA,4,4.448,2,0,0,1,30,15,15,40,159,1,3,1,NA,19.8,"ESTE METROPOLITANO"
"2019","P2800200D","002","28002","2-Intermedio",15.64,1771,"Cumple",513,79.92,2555,2.6,9476.23,3,454872.42,NA,30.7,4.5,0.07,293264,181.88,5743.19,5953.1,14269,969,"Ajalvir",NA,NA,NA,NA,NA,59.4905658634741,NA,"Ajalvir","34132828002",3.36,3.36,38.64,4712,2438,2274,10.23,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",16.83,30,1,0,0,0,0,3,0,1,0,3,1,5,2.688,0,NA,NA,5,4.448,1,0,0,1,17.39,34.78,13.04,34.78,183,1,3,1,NA,19.8,"ESTE METROPOLITANO"
"2019(P)","P2800200D","002","28002","2-Intermedio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16480.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ajalvir",NA,NA,NA,NA,NA,59.4905658634741,NA,"Ajalvir","34132828002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.688,NA,NA,NA,NA,4.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8,"ESTE METROPOLITANO"
