"año","CIF","CMUN","CMUNXL","DEGURBA","Eco_Afiliados_Tem_Porc_Resid","Eco_Afiliados_Total","Eco_Cap_Nec_Financ","Eco_Contratos_Indef","Eco_Contratos_Temp","Eco_Contratos_Total","Eco_Distrib_Renta_P80_20","Eco_Energ_Elect_PC","Eco_Establec_Hotel","Eco_Imp_Saldo_Nfinanc","Eco_Ind_RDBM_PC","Eco_Indice_Gini","Eco_Paro_100","Eco_Paro_Porc_Evol","Eco_PBI_municipal_pc","Eco_Pre_Deuda_Viva","Eco_Pre_Gastos_Liquidados","Eco_Pre_Ingresos_Liquidados","Eco_Renta_Neta_Media_PP","Eco_Uds_Productivas","Entidad","MA_Incendios","MA_Pelig_Incend_AltoExt","MA_Sup_Forestal_Arbol","MA_Sup_Forestal_Desarb","MA_Sup_Forestal_Total","MA_Sup_Protegida","MA_Sup_quemada","Municipio","NATCODE","Pob_Crecim_Relativo","Pob_Dependencia","Pob_Edad_Media","Pob_Empadronada","Pob_Empadronada_H","Pob_Empadronada_M","Pob_Envejecimiento","Pob_EV_65_H","Pob_EV_65_M","Pob_EV_65_Total","Pob_EV_H","Pob_EV_M","Pob_EV_Total","Pob_Grupo","Pob_Juventud","Pob_Saldo_Migratorio","Soc_Bibliot_públicas","Soc_Bienes_Cult","Soc_Cines_Proy","Soc_Ed_Bachiller","Soc_Ed_Cent_Priv_NoUni","Soc_Ed_Cent_Pub_NoUni","Soc_Ed_CiclosFormat","Soc_Ed_ESO","Soc_Ed_Especial","Soc_Ed_Infantil","Soc_Ed_Primaria","Soc_Ent_Credito","Soc_Mov_Auto_T","Soc_Mov_Est_Cercan","Soc_Mov_Gasolin","Soc_Mov_Hosp_T","Soc_Mov_Lin_Autob","Soc_Mov_Muni_5000_T","Soc_Mov_Turismos_Pub","Soc_Salud_Ambul","Soc_Salud_CentrosS","Soc_Salud_Consult","Soc_Salud_Def_Otras","Soc_Salud_Def_SistCirc","Soc_Salud_Def_SistResp","Soc_Salud_Def_Tumor","Soc_Salud_Discapacidad","Soc_Salud_Farmacia","Soc_Serv_Social_Centros","Soc_Teatros","Soc_Vivienda_Libre","Superficie","Terr_Zonas_Estad_CM"
"2019(P)","P2801800J","018","28018","2-Intermedio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18562.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Becerril de la Sierra",NA,NA,NA,NA,NA,100,NA,"Becerril de la Sierra","34132828018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.237,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.66,"SIERRA CENTRAL"
"2020","P2801800J","018","28018","2-Intermedio",19.31,2196,"Capacidad de financiación",106,74.94,423,2.9,2628.94,2,922187.96,16546.92,34.8,5.46,-0.08,NA,0,5307.58,6232.53,14752,640,"Becerril de la Sierra",NA,NA,NA,NA,NA,100,NA,"Becerril de la Sierra","34132828018",2.82,2.82,41.54,5875,2951,2924,15.8,NA,NA,NA,NA,NA,NA,"5.001-20.000 hab.",16.02,224,1,0,1,0,1,2,0,1,0,3,1,3,11.237,0,1,NA,5,0,NA,NA,0,1,42.11,18.42,10.53,28.95,262,2,3,1,NA,29.66,"SIERRA CENTRAL"
"2021","P2801800J","018","28018","2-Intermedio",18.92,2183,"Capacidad de financiación",115,82.73,666,NA,2498.2,3,840763.21,NA,NA,5.84,0.38,NA,0,5907.86,6748.49,NA,665,"Becerril de la Sierra",NA,NA,NA,NA,NA,100,NA,"Becerril de la Sierra","34132828018",3.97,3.97,41.99,6108,3042,3066,16.03,NA,NA,NA,NA,NA,NA,"5.001-20.000 hab.",15.14,101,1,0,0,0,1,2,0,1,0,3,1,2,11.237,0,1,NA,5,0,NA,NA,0,1,55.32,17.02,6.38,21.28,287,2,3,1,NA,29.66,"SIERRA CENTRAL"
"2022","P2801800J","018","28018","2-Intermedio",19.35,2336,NA,407,54.73,899,NA,2340.33,15,NA,NA,NA,4.66,NA,NA,NA,NA,NA,NA,665,"Becerril de la Sierra",16,"16.928122625",46.8986793641954,39.2754538589568,86.1741332231523,100,0.0982032883167485,"Becerril de la Sierra","34132828018",1.46,1.46,NA,6197,3085,3112,16.14,NA,NA,NA,NA,NA,NA,"5.001-20.000 hab.",14.67,NA,1,NA,0,0,NA,NA,0,1,0,3,1,NA,11.237,NA,NA,11.559,NA,0,NA,NA,0,1,NA,NA,NA,NA,NA,2,3,NA,NA,29.66,"SIERRA CENTRAL"
"2023","P2801800J","018","28018","2-Intermedio",10.55,2435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Becerril de la Sierra",NA,NA,NA,NA,NA,NA,NA,NA,"34132828018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013",NA,NA,"28NA",NA,NA,NA,"cumple",NA,NA,NA,NA,NA,NA,376829.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Becerril de la síerra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001","P2801900H","019","28019","3-Rural",NA,NA,NA,NA,NA,NA,NA,1878.24,NA,NA,8113.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Belmonte de Tajo",NA,NA,NA,NA,NA,0,NA,"Belmonte de Tajo","34132828019",NA,NA,41.33,1158,590,568,22.02,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",14.85,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.457,0,NA,NA,2,5.12,1,0,NA,NA,NA,30.77,0,46.15,NA,NA,NA,NA,NA,24.09,"SUDESTE COMUNIDAD"
"2002","P2801900H","019","28019","3-Rural",NA,NA,NA,NA,NA,NA,NA,1918.9,NA,NA,8388.73,NA,NA,NA,NA,NA,601.53,590.36,NA,NA,"Belmonte de Tajo",NA,NA,NA,NA,NA,0,NA,"Belmonte de Tajo","34132828019",NA,NA,41.7,1159,586,573,21.83,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",14.58,-2,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,5.457,0,NA,NA,2,5.12,1,0,NA,NA,NA,28.57,14.29,28.57,NA,NA,NA,NA,NA,24.09,"SUDESTE COMUNIDAD"
"2003","P2801900H","019","28019","3-Rural",NA,NA,NA,NA,NA,NA,NA,2275.35,NA,NA,8902.61,NA,NA,NA,NA,NA,656.19,687.65,NA,NA,"Belmonte de Tajo",NA,NA,NA,NA,NA,0,NA,"Belmonte de Tajo","34132828019",NA,NA,41.61,1144,571,573,21.33,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",14.86,11,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,5.457,0,NA,NA,2,5.12,1,0,NA,NA,NA,15.38,15.38,15.38,NA,NA,NA,NA,NA,24.09,"SUDESTE COMUNIDAD"
"2004","P2801900H","019","28019","3-Rural",NA,NA,NA,NA,NA,NA,NA,2538.27,NA,NA,9371.19,NA,NA,NA,NA,NA,714.33,729.69,NA,NA,"Belmonte de Tajo",NA,NA,NA,NA,NA,0,NA,"Belmonte de Tajo","34132828019",2.8,2.8,41.95,1176,591,585,21.26,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",14.88,25,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,5.457,0,NA,NA,2,5.12,1,3,NA,NA,NA,43.75,18.75,6.25,NA,NA,NA,NA,NA,24.09,"SUDESTE COMUNIDAD"
